fnode,endnode,lngth,depot
-8535568.1125_4812849.9292,-8545398.5547_4825457.3878,16909.34991,0
-8538244.8432_4815766.6641,-8540146.0058_4814819.6489,2406.201258,0
-8538055.042_4816411.5882,-8537530.1311_4816321.3339,585.4187284,0
-8539907.9608_4820084.5204,-8539278.2706_4819788.3717,707.6635451,0
-8540415.0928_4809031.7571,-8540179.1533_4809667.8769,682.839793,0
-8541788.0891_4818893.7931,-8544331.1389_4819821.1683,2892.105493,0
-8545324.544_4810385.7624,-8545099.2986_4810470.7409,244.3198599,0
-8536972.5934_4820858.7284,-8540239.7222_4817706.5412,5546.692863,0
-8539138.1204_4815775.9173,-8539077.904_4815551.6183,244.5340929,0
-8539260.9976_4813676.3721,-8538290.2482_4815102.8466,1797.60937,0
-8550175.8051_4804966.7271,-8549621.7595_4803304.4017,2002.56879,0
-8549276.2909_4809845.5122,-8552467.3241_4809312.0423,3582.122687,0
-8551667.9782_4811936.7021,-8551510.6972_4809648.9435,3285.276924,0
-8537012.3326_4815301.599,-8537206.2866_4815051.5233,322.7819823,0
-8544731.2445_4820329.5402,-8543238.0985_4822089.6479,2399.5879,0
-8547417.7916_4823677.2953,-8545055.5574_4824746.5662,3096.060185,0
-8546384.7558_4802189.2429,-8547229.5726_4801599.4159,1051.870165,0
-8549791.2849_4814508.9415,-8550602.3538_4816106.3134,1847.999836,0
-8536115.2805_4811655.8506,-8538381.9802_4812926.9735,2787.859432,0
-8541886.1612_4820168.3206,-8540543.8451_4825475.4399,6226.4027,0
-8536092.8646_4819000.8417,-8535852.7407_4819182.1015,317.3211917,0
-8536636.4136_4807199.5821,-8536853.5483_4807190.2659,218.699737,0
-8540201.3819_4813362.2401,-8538902.5886_4813279.313,1902.696607,0
-8536298.1436_4823267.0746,-8536051.6214_4823109.6991,295.7857118,0
-8537491.5241_4824680.7659,-8538119.2892_4825197.346,858.377289,0
-8534927.1716_4816530.5236,-8539030.4939_4817340.032,4837.987509,0
-8546699.4195_4819725.8543,-8547352.415_4816365.2417,3776.616764,0
-8546584.6068_4814214.1593,-8550368.3074_4814031.0369,4224.776524,0
-8537969.2247_4815472.8841,-8537852.9583_4815231.2568,271.6973376,0
-8538270.1592_4816034.5948,-8538621.2878_4816091.7353,366.0545591,0
-8534509.5172_4824494.3728,-8534216.6437_4825500.6813,1115.120479,0
-8536450.6475_4808940.0671,-8536412.8625_4808927.7646,39.96332621,0
-8535827.4472_4812938.4255,-8535810.1025_4812375.6591,579.8463374,0
-8539595.793_4817140.5203,-8539446.0745_4817082.3866,160.6530857,0
-8549276.2909_4809845.5122,-8536632.3809_4806873.3251,15012.06018,0
-8535840.7965_4814007.722,-8535943.3428_4814177.9995,199.8368415,0
-8546912.6818_4814032.8856,-8546744.2819_4813897.3491,219.2053024,0
-8537469.6252_4824706.9863,-8537430.9185_4825487.8585,917.0828163,0
-8549943.7291_4814876.1018,-8550213.8626_4817506.4093,3089.106847,0
-8547263.9389_4816579.0796,-8547088.759_4816566.0188,198.5118344,0
-8535768.2562_4811725.9839,-8540465.1633_4808855.1529,6201.246041,0
-8547974.5202_4818177.5976,-8547982.6387_4817874.1543,306.5928792,0
-8550301.7419_4815839.0157,-8549814.6032_4818947.6751,3366.396516,0
-8540476.2052_4803709.9159,-8541367.5635_4803144.8892,1059.632917,0
-8551585.9112_4812096.612,-8551698.3944_4812141.3186,122.2127542,0
-8544023.508_4807179.1023,-8543003.9194_4809398.2984,2495.586772,0
